generation,cost_obj1,aep_obj2
13,             1300638354.5,              164721866.9
13,             1604036054.3,              195925439.4
13,              763147787.1,               85597910.5
13,              810629843.0,               93504304.5
13,             1192432426.1,              146318010.7
13,             1221884151.5,              156183970.3
13,             1336913683.5,              171692919.0
13,             1732321531.1,              204346967.4
13,              706310998.8,               72212502.6
14,              548218359.2,               60294140.5
14,             1896178188.0,              231150516.2
14,             1290939015.2,              162771737.7
14,             1293575640.7,              162926423.8
14,              741196968.4,               82730238.3
14,             1245333286.3,              156416706.4
14,             1682092959.3,              198150391.5
14,             1605720543.1,              197196016.0
14,              716309137.1,               77054229.8
14,             1156847790.9,              139899886.5
14,              972262950.3,              125249277.9
14,              652141867.0,               66329284.2
14,             1578703248.2,              194931520.0
14,             1698192857.0,              203654273.6
14,             1221122640.6,              150088036.7
14,              706310998.8,               72212502.6
14,             1141343472.8,              130638255.3
14,             1347616923.4,              178060657.7
14,             1221884151.5,              156183970.3
14,              866851930.9,              109585058.5
14,             1300638354.5,              164721866.9
14,             1818707320.7,              218202087.1
14,             1344948805.8,              172463693.1
14,              810629843.0,               93504304.5
14,              931601047.8,              120782529.3
14,             1828961525.3,              222715075.8
14,             1148654376.0,              137497242.1
14,             1765772584.3,              212807676.0
14,              899639796.6,              116968016.8
14,             1313124153.3,              165205860.4
14,             1563212689.0,              192969106.7
14,             1422739078.3,              186675712.0
14,              945418985.5,              121803118.8
14,             1192432426.1,              146318010.7
14,             1319983025.8,              168373955.9
14,              775441175.7,               93008432.1
14,             1411326841.1,              182724283.1
14,             1367671692.7,              181096765.9
14,             1430868146.1,              187091098.2
14,              970133476.6,              122220231.1
14,             1732321531.1,              204346967.4
14,             1778104507.5,              215275023.3
14,             1765569694.3,              210293594.8
14,             1145512733.9,              131983036.3
14,             1402983109.1,              182266179.1
14,             1180297375.2,              143652654.1
14,             1733184712.8,              207781417.2
14,              829705336.8,               95936428.5
14,             1760552156.4,              209921958.6
14,             1146377165.1,              135185675.1
14,             1586951779.6,              196451066.5
14,              925878050.4,              118111137.3
14,             1811317732.8,              217569489.8
14,              763147787.1,               85597910.5
14,             1560797035.9,              189684907.7
14,             1196322431.5,              148691787.2
14,              812887547.1,               94447249.2
14,             1876175682.9,              227654185.9
14,             1735614220.0,              209239886.7
14,              835351989.4,              103517087.9
14,             1336913683.5,              171692919.0
14,              930472968.2,              118831211.6
14,             1880040318.9,              227872043.6
14,              913680357.5,              117992667.2
14,              884358692.1,              113312248.8
14,              994740898.6,              128996126.1
14,              841486655.1,              104169154.5
14,              847989974.8,              107175223.1
14,             1262742469.5,              161132722.2
14,             1694534788.8,              200595648.6
14,             1133478902.8,              129596863.3
15,              548218359.2,               60294140.5
15,             1896178188.0,              231150516.2
15,             1707060101.8,              205822977.1
15,              675956213.7,               70545687.8
15,             1765772584.3,              212807676.0
15,             1569163883.9,              194129316.8
15,              806272251.5,               93376743.7
15,              994740898.6,              128996126.1
15,             1300638354.5,              164721866.9
15,              652141867.0,               66329284.2
15,             1765569694.3,              210293594.8
15,             1257544097.3,              157969666.6
15,             1694534788.8,              200595648.6
15,              825163135.6,              100153176.4
15,             1578703248.2,              194931520.0
15,              969005136.5,              127761332.6
15,             1313124153.3,              165205860.4
15,             1156847790.9,              139899886.5
15,             1336913683.5,              171692919.0
15,             1316669243.8,              168423301.3
15,             1563212689.0,              192969106.7
15,             1293575640.7,              162926423.8
15,             1347616923.4,              178060657.7
15,             1411154025.4,              188736217.9
15,              812887547.1,               94447249.2
15,             1344948805.8,              172463693.1
15,             1400189257.8,              182657827.9
15,              692491963.6,               72335206.9
15,              810629843.0,               93504304.5
15,             1322928163.9,              169805096.4
15,              866851930.9,              109585058.5
15,             1221122640.6,              150088036.7
15,             1586951779.6,              196451066.5
15,              835351989.4,              103517087.9
15,             1680510410.7,              197953811.0
15,             1560797035.9,              189684907.7
15,              896674818.3,              119633989.3
15,             1760552156.4,              209921958.6
15,             1367671692.7,              181096765.9
15,              841486655.1,              104169154.5
15,             1290939015.2,              162771737.7
15,             1682092959.3,              198150391.5
15,             1847097237.1,              227917287.5
15,             1172942485.2,              148908755.7
15,              847989974.8,              107175223.1
15,             1722125093.5,              207381371.6
15,             1392423800.6,              181926174.1
15,              884358692.1,              113312248.8
15,             1262742469.5,              161132722.2
15,             1146377165.1,              135185675.1
15,             1886343229.2,              230517786.1
15,              931601047.8,              120782529.3
15,             1735614220.0,              209239886.7
15,              763147787.1,               85597910.5
15,              945418985.5,              121803118.8
15,             1733184712.8,              207781417.2
15,              833131131.2,              102362540.6
15,             1221884151.5,              156183970.3
15,             1605720543.1,              197196016.0
15,             1805544430.4,              224207169.0
15,             1141343472.8,              130638255.3
15,             1698192857.0,              203654273.6
15,              741196968.4,               82730238.3
15,              775441175.7,               93008432.1
15,             1778104507.5,              215275023.3
15,              716309137.1,               77054229.8
